,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi
129,0,0,2,1,B4,1,4,ZZ.00.000,7.0,J1,25,0.0040906154343617095,69.99941434110454,0.28634228183643523,-104.4209053307717,403.32503062543157,416.62309801438437,-0.2533375619504669
152,0,1,2,1,C3,2,3,ZZ.00.001,7.0,J1,29,0.008181230868723419,69.99765737421808,0.572679772275599,-102.63988181974139,403.78960932035636,416.6305244878926,-0.2489196862574218
181,0,2,2,1,D8,3,8,ZZ.00.002,7.0,J1,3,0.01227184630308513,69.99472912874012,0.8590076800003947,-101.04041908492849,404.19395774587633,416.6316379814827,-0.24495987100858183
204,0,3,2,1,E7,4,7,ZZ.00.003,7.0,J1,7,0.016362461737446838,69.99062965366933,1.1453212138540747,-99.43916687531434,404.58924684025567,416.6300596063875,-0.24100115782718534
227,0,4,2,1,F6,5,6,ZZ.00.004,7.0,J1,11,0.020453077171808547,69.98535901760266,1.4316155829204102,-97.8369657018531,404.98328549184447,416.63357208164877,-0.23704096747911402
130,0,5,2,1,B5,1,5,ZZ.00.005,7.0,J1,18,0.02454369260617026,69.9789173087343,1.7178859966038602,-96.2324327446243,405.3644758701383,416.63057906185975,-0.23308258354896158
153,0,6,2,1,C4,2,4,ZZ.00.006,7.0,J1,22,0.028634308040531967,69.97130463485404,2.0041276647097304,-94.62727676243345,405.7437410318473,416.6320977721147,-0.22912379798735757
176,0,7,2,1,D3,3,3,ZZ.00.007,7.0,J1,26,0.032724923474893676,69.9625211233456,2.2903357975243295,-93.01976361883187,406.1146176308116,416.63144273701147,-0.22516408379623454
205,0,8,2,1,E8,4,8,ZZ.00.008,7.0,J1,0,0.03681553890925539,69.95256692118447,2.576505605895118,-91.41099387682088,406.47850912637654,416.630229559918,-0.22120515510868033
228,0,9,2,1,F7,5,7,ZZ.00.009,7.0,J1,4,0.04090615434361709,69.94144219493542,2.8626323013108412,-89.80159225916087,406.83681357615023,416.62995433967035,-0.21724767485768953
131,0,10,2,1,B6,1,6,ZZ.00.010,7.0,J1,15,0.044996769777978805,69.92914713074973,3.148711095981659,-88.18964005955728,407.190147619018,416.6308065083905,-0.21328679346279808
154,0,11,2,1,C5,2,5,ZZ.00.011,7.0,J1,19,0.04908738521234052,69.91568193436207,3.434737202919261,-86.57670072575226,407.53538029430723,416.63006528595855,-0.20932771348079773
177,0,12,2,1,D4,3,4,ZZ.00.012,7.0,J1,23,0.05317800064670222,69.90104683108709,3.720705836016964,-84.96293846371249,407.87616001221147,416.63132721711617,-0.20536892736298365
200,0,13,2,1,E3,4,3,ZZ.00.013,7.0,J1,27,0.057268616081063935,69.88524206581558,4.006612210129804,-83.34722392297189,408.20910961234523,416.6310560990019,-0.20140939586098486
229,0,14,2,1,F8,5,8,ZZ.00.014,7.0,J1,1,0.06135923151542564,69.86826790301045,4.2924515411546,-81.7306088663016,408.53644401063724,416.6316340732097,-0.19745044575490184
249,0,15,2,1,F2,5,2,ZZ.00.015,7.0,J1,31,0.06544984694978735,69.85012462670224,4.578219046110014,-80.11244188035242,408.85683009092776,416.6316248870633,-0.19349112008118555
385,0,16,4,1,B4,1,4,ZZ.00.016,6.0,J1,25,0.06954046238414906,69.83081254048444,4.863909943216579,-78.49289068304115,409.1701296645533,416.63092647748465,-0.1895317978977898
408,0,17,4,1,C3,2,3,ZZ.00.017,6.0,J1,29,0.07363107781851078,69.81033196750832,5.14951945197672,-76.87236550280369,409.4775682158559,416.6308191312395,-0.18557282249823243
437,0,18,4,1,D8,3,8,ZZ.00.018,6.0,J1,3,0.07772169325287248,69.78868325047758,5.435042793254733,-75.2504437389439,409.77763649283474,416.6297404801556,-0.1816138052995998
460,0,19,4,1,E7,4,7,ZZ.00.019,6.0,J1,7,0.08181230868723419,69.76586675164262,5.720475189356774,-73.627738463445,410.0741857300019,416.63158986491356,-0.17765447133036982
483,0,20,4,1,F6,5,6,ZZ.00.020,6.0,J1,11,0.0859029241215959,69.74188285279446,6.005811864110792,-72.00361358629213,410.36227193245804,416.63138935401,-0.17369538907188994
386,0,21,4,1,B5,1,5,ZZ.00.021,6.0,J1,18,0.08999353955595761,69.71673195525834,6.291048042946448,-70.37733909133263,410.6408936770403,416.62802764271004,-0.16973511702244096
409,0,22,4,1,C4,2,4,ZZ.00.022,6.0,J1,22,0.09408415499031932,69.69041447988702,6.576178952975014,-68.75196247671664,410.9183391504706,416.63018829002425,-0.16577743462343011
432,0,23,4,1,D3,3,3,ZZ.00.023,6.0,J1,26,0.09817477042468103,69.66293086705379,6.861199823069242,-67.12433229086281,411.1873745642603,416.6302113223949,-0.16181776912573329
461,0,24,4,1,E8,4,8,ZZ.00.024,6.0,J1,0,0.10226538585904274,69.63428157664494,7.146105883943187,-65.49586282415575,411.4493856698993,416.62969771155076,-0.1578588271653078
387,0,25,4,1,B6,1,6,ZZ.00.025,6.0,J1,15,0.10635600129340445,69.60446708805227,7.430892368232024,-63.86647403968836,411.7067173242945,416.6309489178747,-0.15389947875453197
410,0,26,4,1,C5,2,5,ZZ.00.026,6.0,J1,19,0.11044661672776615,69.57348790016492,7.715554510571813,-62.23619687647219,411.9573781528574,416.6320026308869,-0.14994049958343994
433,0,27,4,1,D4,3,4,ZZ.00.027,6.0,J1,23,0.11453723216212787,69.5413445313611,8.000087547679247,-60.6046793732226,412.2002874783599,416.631736860232,-0.14598136346234797
456,0,28,4,1,E3,4,3,ZZ.00.028,6.0,J1,27,0.11862784759648957,69.50803751949938,8.284486718431346,-58.97238815895363,412.4369220337966,416.6316805307564,-0.14202257775606547
485,0,29,4,1,F8,5,8,ZZ.00.029,6.0,J1,1,0.12271846303085128,69.47356742190969,8.568747263945133,-57.339039239403725,412.66662471487575,416.6311421082994,-0.13806362827274063
505,0,30,4,1,F2,5,2,ZZ.00.030,6.0,J1,31,0.126809078465213,69.43793481538403,8.852864427657263,-55.70471846618195,412.8906567737561,416.6313839720434,-0.13410423868925875
484,0,31,4,1,F7,5,7,ZZ.00.031,6.0,J1,4,0.1308996938995747,69.40114029616673,9.136833455403611,-54.06930064020684,413.1079873308337,416.6313700002117,-0.130144392362645
641,0,32,6,1,B4,1,4,ZZ.00.032,5.0,J1,25,0.1349903093339364,69.36318447994461,9.420649595498832,-52.433048159157835,413.31719410676556,416.62972467594085,-0.1261850743640522
664,0,33,6,1,C3,2,3,ZZ.00.033,5.0,J1,29,0.13908092476829811,69.32406800183654,9.704308098815867,-50.79679132959264,413.5238364703628,416.63206470283774,-0.12222652724137174
693,0,34,6,1,D8,3,8,ZZ.00.034,5.0,J1,3,0.14317154020265982,69.28379151638293,9.987804218865405,-49.15908247298612,413.723212313665,416.63354617304134,-0.11826668372929175
716,0,35,6,1,E7,4,7,ZZ.00.035,5.0,J1,7,0.14726215563702155,69.24235569753468,10.271133211875322,-47.51987993393532,413.91302410493637,416.63188849706313,-0.11430598700523456
642,0,36,6,1,B5,1,5,ZZ.00.036,5.0,J1,18,0.15135277107138326,69.19976123864194,10.55429033687004,-45.88063692911965,414.09576439346296,416.6297336168268,-0.11034709346473785
665,0,37,6,1,C4,2,4,ZZ.00.037,5.0,J1,22,0.15544338650574496,69.15600885244257,10.837270855749871,-44.24174200672647,414.2757392908536,416.6313957214135,-0.1063897565845839
643,0,38,6,1,B6,1,6,ZZ.00.038,5.0,J1,15,0.15953400194010667,69.1110992710501,11.120070033370299,-42.60089830412052,414.4472016754908,416.6309152150894,-0.1024299495153535
666,0,39,6,1,C5,2,5,ZZ.00.039,5.0,J1,19,0.16362461737446837,69.06503324594154,11.40268313762121,-40.95994934047864,414.6122153226107,416.6305396207742,-0.09847146566745178
689,0,40,6,1,D4,3,4,ZZ.00.040,5.0,J1,23,0.16771523280883008,69.01781154794483,11.685105439506076,-39.318600884277515,414.7715369557782,416.6309880987678,-0.09451337144032598
712,0,41,6,1,E3,4,3,ZZ.00.041,5.0,J1,27,0.1718058482431918,68.96943496722588,11.967332213221086,-37.67587345390193,414.92487903238225,416.63188389818595,-0.0905533493765409
741,0,42,6,1,F8,5,8,ZZ.00.042,5.0,J1,1,0.17589646367755352,68.91990431327544,12.249358736234221,-36.03257479743107,415.06972187440493,416.6307963454314,-0.08659380480815401
761,0,43,6,1,F2,5,2,ZZ.00.043,5.0,J1,31,0.17998707911191522,68.86922041489542,12.531180289364286,-34.388988697292945,415.20793188427666,416.62960677709964,-0.08263492813236796
688,0,44,6,1,D3,3,3,ZZ.00.044,5.0,J1,26,0.18407769454627693,68.81738412018514,12.812792156859867,-32.74493964234969,415.3420309711852,416.6308123068313,-0.07867575864703255
717,0,45,6,1,E8,4,8,ZZ.00.045,5.0,J1,0,0.18816830998063863,68.7643962965271,13.094189626478236,-31.100183895211895,415.46826503638886,416.63065260571386,-0.07471639182187606
740,0,46,6,1,F7,5,7,ZZ.00.046,5.0,J1,4,0.19225892541500034,68.71025783057243,13.375367989564221,-29.454948775309077,415.58799856506306,416.6305060346289,-0.07075703939061156
739,0,47,6,1,F6,5,6,ZZ.00.047,5.0,J1,11,0.19634954084936207,68.65496962822613,13.656322541128977,-27.80933283689238,415.70056742677843,416.62971659709854,-0.0667979820825204
897,0,48,8,1,B4,1,4,ZZ.00.048,4.0,J1,25,0.20044015628372377,68.59853261463184,13.937048579928721,-26.163765615932125,415.8092489461568,416.6315808245607,-0.0628396744534675
898,0,49,8,1,B5,1,5,ZZ.00.049,4.0,J1,18,0.20453077171808548,68.54094773415636,14.2175414085434,-24.516979780434085,415.90985201381227,416.6318366372227,-0.058879685460388326
921,0,50,8,1,C4,2,4,ZZ.00.050,4.0,J1,22,0.20862138715244719,68.48221595037394,14.497796333455298,-22.86975134298472,416.0009567138564,416.6291174574021,-0.05491995412766871
899,0,51,8,1,B6,1,6,ZZ.00.051,4.0,J1,15,0.2127120025868089,68.42233824605003,14.77780866512756,-21.222778148366842,416.09037103658744,416.63125564664466,-0.05096105170281686
922,0,52,8,1,C5,2,5,ZZ.00.052,4.0,J1,19,0.2168026180211706,68.36131562312494,15.057573718082677,-19.575198981933198,416.1709613204927,416.6310807676323,-0.047001794225086616
945,0,53,8,1,D4,3,4,ZZ.00.053,4.0,J1,23,0.2208932334555323,68.299149102697,15.337086810980884,-17.927541361247624,416.2474181773225,416.6333038518957,-0.043042834250405046
968,0,54,8,1,E3,4,3,ZZ.00.054,4.0,J1,27,0.22498384888989403,68.23583972500552,15.616343266698484,-16.27927585705841,416.3099360119414,416.6281047225414,-0.039083827920552344
997,0,55,8,1,F8,5,8,ZZ.00.055,4.0,J1,1,0.22907446432425574,68.17138854941335,15.895338412406124,-14.630732560702544,416.37305227069135,416.6300241130908,-0.03512406804513003
1017,0,56,8,1,F2,5,2,ZZ.00.056,4.0,J1,31,0.23316507975861744,68.10579665438921,16.174067579646977,-12.98267121477349,416.42855907355687,416.6308852737033,-0.03116613206113618
944,0,57,8,1,D3,3,3,ZZ.00.057,4.0,J1,26,0.23725569519297915,68.03906513748956,16.45252610441487,-11.333385216257115,416.4757244594613,416.62990133269744,-0.027205880775816652
973,0,58,8,1,E8,4,8,ZZ.00.058,4.0,J1,0,0.24134631062734085,67.97119511534031,16.730709327232308,-9.684555680162866,416.51795394145415,416.63052765525657,-0.02324704357534557
996,0,59,8,1,F7,5,7,ZZ.00.059,4.0,J1,4,0.24543692606170256,67.90218772361808,17.00861259322847,-8.035409790858244,416.5535709687188,416.63106616921704,-0.019287827259109203
920,0,60,8,1,C3,2,3,ZZ.00.060,4.0,J1,29,0.2495275414960643,67.83204411703124,17.286231252217075,-6.386059386156405,416.58162144818243,416.6305666689379,-0.015328470794411827
949,0,61,8,1,D8,3,8,ZZ.00.061,4.0,J1,3,0.253618156930426,67.7607654693006,17.5635606587742,-4.736988565963924,416.6041638169845,416.6310938592113,-0.011369988224543909
972,0,62,8,1,E7,4,7,ZZ.00.062,4.0,J1,7,0.2577087723647877,67.68835297313964,17.840596172316015,-3.087300228317061,416.6185174648765,416.629956336953,-0.007410241237684152
995,0,63,8,1,F6,5,6,ZZ.00.063,4.0,J1,11,0.2617993877991494,67.61480784023477,18.117333157176454,-1.4379155034852185,416.6291289717399,416.63161030909043,-0.003451294434976228
1155,0,64,10,1,B6,1,6,ZZ.00.064,3.0,J1,15,0.26589000323351114,67.54013130122487,18.39376698268473,0.21174251469412925,416.6317102716594,416.63176407804104,0.0005082246291948823
