,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi
129,0,0,2,1,B4,1,4,ZZ.00.000,11.0,J1,25,0.00272707695624114,69.99973970695594,0.190895150323767,-147.6717249529476,570.3297015497261,589.1374260903636,-0.2533593963538378
152,0,1,2,1,C3,2,3,ZZ.00.001,11.0,J1,29,0.00545415391248228,69.99895882975952,0.38178888097096897,-146.09869297952687,570.7399067760325,589.1424863961522,-0.25060006842484667
181,0,2,2,1,D8,3,8,ZZ.00.002,11.0,J1,3,0.008181230868723419,69.99765737421808,0.572679772275599,-144.58429055266524,571.1240280269069,589.1411311937885,-0.24794814613551486
204,0,3,2,1,E7,4,7,ZZ.00.003,11.0,J1,7,0.01090830782496456,69.99583535001048,0.7635664045927661,-143.06947922430194,571.5052831428935,589.1410396040594,-0.24529673842817487
227,0,4,2,1,F6,5,6,ZZ.00.004,11.0,J1,11,0.013635384781205698,69.99349277068703,0.9544473583092531,-141.5548866127662,571.8854960486648,589.1441305103366,-0.24264613395105158
130,0,5,2,1,B5,1,5,ZZ.00.005,11.0,J1,18,0.016362461737446838,69.99062965366933,1.1453212138540747,-140.03720282610087,572.2577333360248,589.1428787130023,-0.23999369726716835
153,0,6,2,1,C4,2,4,ZZ.00.006,11.0,J1,22,0.019089538693687978,69.98724602025023,1.3361865517090334,-138.51970701425998,572.6270431567597,589.1429705816491,-0.23734274640665526
176,0,7,2,1,D3,3,3,ZZ.00.007,11.0,J1,26,0.02181661564992912,69.98334189559364,1.5270419524192784,-137.0008275871749,572.9925260585209,589.1431588998514,-0.23469104140318867
205,0,8,2,1,E8,4,8,ZZ.00.008,11.0,J1,0,0.02454369260617026,69.9789173087343,1.7178859966038602,-135.48096435887686,573.3539032424377,589.1432678618587,-0.23203933421129186
228,0,9,2,1,F7,5,7,ZZ.00.009,11.0,J1,4,0.027270769562411395,69.97397229257761,1.9087172649662867,-133.9605373797094,573.7101987242515,589.142442619169,-0.22938867610796654
131,0,10,2,1,B6,1,6,ZZ.00.010,11.0,J1,15,0.029997846518652536,69.96850688389941,2.09953433830508,-132.4387676078479,574.0630990117971,589.1421465253644,-0.22673710381735812
154,0,11,2,1,C5,2,5,ZZ.00.011,11.0,J1,19,0.032724923474893676,69.9625211233456,2.2903357975243295,-130.91626088430294,574.4134408771581,589.1433343629233,-0.22408529288565618
177,0,12,2,1,D4,3,4,ZZ.00.012,11.0,J1,23,0.03545200043113481,69.95601505543196,2.481120223644245,-129.3921274493957,574.7562571994602,589.1409660139182,-0.2214336230331211
200,0,13,2,1,E3,4,3,ZZ.00.013,11.0,J1,27,0.038179077387375956,69.94898872854377,2.6718861978117125,-127.86716988724285,575.0936717105989,589.1372882245284,-0.2187825750312871
229,0,14,2,1,F8,5,8,ZZ.00.014,11.0,J1,1,0.04090615434361709,69.94144219493542,2.8626323013108412,-126.34286617709482,575.4350283107815,589.1417415536546,-0.21613116162423593
249,0,15,2,1,F2,5,2,ZZ.00.015,11.0,J1,31,0.04363323129985824,69.93337551073004,3.05335711557352,-124.8166078309733,575.7682779214274,589.1419993949141,-0.21347947985040952
385,0,16,4,1,B4,1,4,ZZ.00.016,10.0,J1,25,0.046360308256099374,69.92478873591914,3.244059222189963,-123.28992411707321,576.0991716402865,589.1440069740318,-0.21082794985418146
408,0,17,4,1,C3,2,3,ZZ.00.017,10.0,J1,29,0.04908738521234052,69.91568193436207,3.434737202919261,-121.76150812156047,576.422212569371,589.1421152857823,-0.2081763345335339
437,0,18,4,1,D8,3,8,ZZ.00.018,10.0,J1,3,0.051814462168581654,69.9060551737856,3.6253896396999266,-120.23288961504295,576.7428999537366,589.1420205622994,-0.20552519959997184
460,0,19,4,1,E7,4,7,ZZ.00.019,10.0,J1,7,0.05454153912482279,69.89590852578341,3.816015114660442,-118.70353356013382,577.0601706464645,589.1425713918393,-0.20287402472056393
483,0,20,4,1,F6,5,6,ZZ.00.020,10.0,J1,11,0.057268616081063935,69.88524206581558,4.006612210129804,-117.17254978875904,577.3711934957794,589.140816361199,-0.20022227497007658
