
Detector region electron elements																
10 GeV/c electrons  (use more digits to calculate the brho)																
																
Element name	Type	Length [m]	Good field half-aperture [cm]	Inner Half-A [cm]	Outer Radius [cm]	Dipole field [T]		Quadrupole field [T/m]		Sextupole [T/m^2]	Solenoid [T]	X center [m]	Y center [m]	Z center [m]	Theta center [rad]	Phi [rad]
Downstream elements (second focusing point approximately in the middle of chicane)						Bx	By	Normal	Skew							
eBDS6	RBEND	3	1.8	4.5	11	0	0.44	0	0	0	0	-0.030	0	-34.5	-0.02	0
eBDS5	RBEND	3	1.8	4.5	11	0	-0.42	0	0	0	0	-0.260	0	-27.3	-0.0213	0
eBDS4	RBEND	0.5	1.8	4.5	11	0	-0.17	0	0	0	0	-0.293	0	-25.0	-0.00125	0
eBDS3	RBEND	0.5	1.8	4.5	11	0	-0.17	0	0	0	0	-0.293	0	-21.3	0.00125	0
eBDS2	RBEND	3	1.8	4.5	11	0	-0.42	0	0	0	0	-0.260	0	-19.1	0.0213	0
eBDS1	RBEND	3	1.8	4.5	11	0	0.44	0	0	0	0	-0.030	0	-11.9	0.02	0
eASDS	SOLENOID	1.2	2.2	4.5	11	0	0	0	0	0	-4	0	0	-7	0	0
eQDS3	QUADRUPOLE	0.6	2.4	4.5	10	0	0	-18.7	-2.71	0	0	0	0	-5.6	0	0
eQDS2	QUADRUPOLE	0.6	2.8	4.5	8.5	0	0	36.2	5.25	0	0	0	0	-4.4	0	0
eQDS1	QUADRUPOLE	0.6	1.7	4.5	8	0	0	-33.7	-4.89	0	0	0	0	-2.5	0	0
eDSDS	SOLENOID	1.6	2	160	210	0	0	0	0	0	3	0	0	-0.8	0	0
																
Upstream elements 																
eDSUS	SOLENOID	2.4	2	160	210	0	0	0	0	0	3	0	0	1.2	0	0
eQUS1	QUADRUPOLE	0.6	2	4.5	10	0	0	-36.9	8.10	0	0	0	0	3.26	0	0
eQUS2	QUADRUPOLE	0.6	3.2	4.5	11	0	0	33.7	-7.38	0	0	0	0	4.46	0	0
eQUS3	QUADRUPOLE	0.6	1.5	4.5	11	0	0	-20.8	4.56	0	0	0	0	8.01	0	0
eASUS	SOLENOID	1.8	2.2	4.5	11	0	0	0	0	0	-4	0	0	9.61	0	0
